Year,Quarter,SurfTemp,25Temp,50Temp,Copepod,Rotifer,Bosmi?Daphnia
1948,DJF,0,0.516666667,0.691666667,29.77875,6.1875,0
1948,MAM,0.85,1.35,1.65,42.2375,1.205,0
1948,JJA,7.376666667,5.535833333,4.356666667,14.03061111,5.80259259,0
1948,SON,6.827777778,6.691666667,6.294444444,8.985,6.8375,0
1949,DJF,0.15,0.7,2.05,6.8575,3.1775,0
1949,MAM,1.816666667,2.183333333,2.233333333,22.36500001,10.11756944,0
1949,JJA,7.341666667,5.216666667,4.9125,16.18027777,7.084722233,0
1949,SON,7.561111111,7.111111111,6.622222222,15.26305557,24.8526852,10.5162963
1950,DJF,1.2,1.6,2,18.7188889,5.1725,0
1950,MAM,0.827777778,1.244444444,1.772222222,25.58287039,20.38462963,0
1950,JJA,9.19,6.228888889,3.953888889,39.08509259,5.945,0
1950,SON,7.375555556,6.647777778,6.482222222,44.65311112,8.109833333,3.926666667
1951,DJF,4.116666667,2.15,2.55,42.63055556,8.1022222,0
1951,MAM,0.4,1.175,1.675,46.74666667,8.507222223,0
1951,JJA,7.06,4.89,4.25,175.9624074,9.17827779,0
1951,SON,5.4,4.953333333,4.635,9.196944443,41.63208333,0
1952,DJF,1.9,1.983333333,2.583333333,26.72583335,18.1525,0
1952,MAM,1.483333333,2,2.283333333,18.48375,9.190833333,0
1952,JJA,7.422222222,5.773611111,4.655555556,16.37583333,14.46166667,1.266944443
1952,SON,8.15,7.5,6.683333333,5.717083333,79.99847222,12.63069444
1953,DJF,0.3,0.541666667,0.8875,904.5239585,781.5333333,0
1953,MAM,0.943333333,1.116666667,1.296666667,6.62861111,7.536944447,0
1953,JJA,7.279583333,6.302777778,3.997222222,6.168333333,7.688333333,0
1953,SON,6.397619048,5.811111111,5.352777778,7.21576389,12.48776389,0.815
1954,DJF,1.083333333,1.266666667,2.083333333,9.99,5.555,0
1954,MAM,1.552777778,1.661111111,1.858333333,19.50555557,5.268333333,0
1954,JJA,8.872222222,6.98,4.773333333,46.40277777,31.39444443,0
1954,SON,9.277777778,9.244444444,7.477777778,7.890416667,113.8620833,1.743333333
1955,DJF,1.3,1.733333333,2.6,6.268833333,5.91763889,0
1955,MAM,1.055555556,1.233333333,1.588888889,4.421666667,6.931944443,0
1955,JJA,7.683333333,5.455555556,4.072222222,1.885,17.22777778,0
1955,SON,7.497222222,6.858333333,5.269444444,2.745833333,120.3195833,0
1956,DJF,1.155555556,1.305555556,1.877777778,4.562916667,10.93416667,0
1956,MAM,0.983333333,1.116666667,1.277777778,7.24625,4.542222223,0
1956,JJA,8.383333333,5.75,4.25,5.944166677,15.94583333,2.5
1956,SON,6.527777778,5.855555556,5.383333333,3.549166667,5.474444443,11.07083333
1957,DJF,0.855555556,1.727777778,2.116666667,1.64,1.84,0.3
1957,MAM,1.133333333,1.275,1.572222222,2.495333333,10.23722223,0
1957,JJA,6.144444444,4.8,4.722222222,6.05875,1.76,0
1957,SON,5.716666667,5.102777778,4.894444444,6.03,12.96,2.325
1958,DJF,0.855555556,1.044444444,1.711111111,3.508333333,3.9,0.5
1958,MAM,0.966666667,1.094444444,1.388888889,1.811666667,4.334166667,0
1958,JJA,8.455555556,6.488888889,5.088888889,7.761111113,17.40555555,0.925
1958,SON,9.1,9.05,8.683333333,4.690555557,66.4125,8.265
1959,DJF,2.133333333,2.133333333,2.416666667,4.26875,18.303125,1.32
1959,MAM,1.294444444,1.372222222,1.594444444,9.810555557,8.743333333,0
1959,JJA,6.8,5.816666667,4.416666667,3.519444443,47.38944444,0
1959,SON,7.783333333,7.8,7.283333333,20.79,70.86875,0
1960,DJF,0.825,1.2,1.816666667,0.76888889,7.1676389,0
1960,MAM,0.820833333,1.225,1.466666667,2.272222223,44.5075,0
1960,JJA,7.2,5.588888889,4.944444444,0.675,18.61500001,0
1960,SON,7.755555556,7.1,5.3,3.566666667,43.11444443,10.72583333
1961,DJF,1.275,1.535,1.75,0.395,1.45,0.33
1961,MAM,0.953333333,1.206666667,1.446666667,0.583333333,19.18555556,0
1961,JJA,6.133333333,5.113333333,4.32,5.355,12.97287036,5.583333333
1961,SON,6.826666667,6.933333333,5.886666667,2.013333333,153.99375,1.133333333
1962,DJF,1.465,1.94,2.475,0.675,4.434375,0
1962,MAM,1.322222222,1.466666667,1.822222222,1.553222223,4.728194447,0
1962,JJA,8.441666667,5.561111111,4.274444444,3.204194447,50.89289815,0.4125
