Year,Month,Watertemp0-50,NAO hurrell,PDO jisao,AO jisao,ENSO jisao,Mean snow depth Irkutsk - boulder Snow & Ice data,Copepod total,Rotifer total,Bosmina & Daphnia,chrysophtye,cryptophyte,cyanobacteria total,diatom,dinoflagellate,green
1974,2,2.158333333,1.1,-0.9,-0.38136167,-39,27.28571429,4.19,1.93333333,0,0,0.034,0,0.21684115,0.182225,0.14689583
1974,3,1.016666667,0.3,-0.52,-0.28487331,-31,16.66666667,1.76,1.98333333,0,1.56016667,0.8225,0,1.75427353,0.6653625,0.77670833
1974,4,0.905555556,-0.4,-0.28,0.49823249,-26,0.5,6.127625,1.48333333,0,35.378625,1.047,0,11.95975,4.54745833,5.607
1974,5,1.183333333,-0.3,-0.31,-0.55549716,-9,0, ?, ?, ?,4.4846875,0.24125,0.8,18.2556691,0.20546667,0.29258333
1974,6,2.916666667,-1,-0.08,-0.16361018,-4,0,9.87416667,1.43166667,0,0.40985417,0.075,0,0.74669471,0.15527083,0.15177778
1974,7,3.744444444,1.1,0.27,0.43876577,7,0,6.53888889,5.53611111,0,2.61783333,0,0.6535,0.36253034,0.54604861,0.79887037
1974,8,6.611111111,0,0.44,-0.36099602,4,0,3.75416667,104.4008337,4.02,22.4121389,18.18,11.05825,4.02485167,0.2935,2.07342361
1974,9,10.08888889,1,-0.1,-0.17427743,-8,0,5.94166667,96.155,24.99583333,6.154375,15.4493333,2.83947917,0.59071377,0.27044444,1.40969697
1974,10,9.744444444,-0.1,0.43,-1.0494006,-19,7.038461538,4.97,41.395,16.89125,0.2005,0,0.165,0.29180417,0.09308333,0.30864286
1974,11,6.45,0.8,-0.12,-0.37755982,-16,8.8,4.66722222,5.74833333,3.31166666,0.03952778,0.018,0,0.13777859,0.12303241,0.10781019
1974,12,3.15,1.8,-0.84,0.65073938,-22,23.61290323,4.18,3.7125,0.9,0.05683333,0,0,0.15181019,0.19425,0.08823611
1975,2,2.291666667,-0.6,-0.51,0.8042222,-19,36.28571429,7.47402778,1.74355556,0.312,9.245,0,329.968958,0.43816204,0.66070833,0.23175
1975,3,0.416666667,-0.3,-1.3,0.26720632,-26,14.25806452,8.44908333,1.63538889,0.037,26.4706889,4.256,88.6740083,0.25244444,0.36716667,5.41769907
1975,4,0.805555556,0.1,-1.02,0.23093042,-21,0.541666667,2.06911111,2.25916666,0,2.5679,0,59.7256667,0.85420455,33.98475,8.91406944
1975,5,0.775,-1,-1.16,-0.5304298,-25,0.161290323,0.9,2.55,0,1.55545833,0,131.17825,3.99089015,0.96075,21.157
1975,6,1.1,-0.9,-0.4,-0.44587799,-28,0,4.59,8.45008333,0,3.35116667,0,117.058017,0.94983889,1.70684722,7.42666667
1975,7,2.533333333,-0.7,-1.07,0.55701114,-12,0,5.79508333,1.81875,0,1.21673333,0,1371.53137,0.4250348,0.51970833,80.8645583
1975,8,3.855555556,-0.4,-1.23,0.30890592,-16,0,3.50333333,23.9188889,0.585,0.58786667,26.4616667,2883.63539,0.64171667,0.18380556,4.11334
1975,9,5.655555556,2,-1.29,1.246017,-29,0,1.73333333,134.0841667,3.5825,0.60522222,33.616,1970.70036,2.9868109,0.22775,2.49668125
