Respondent sequence number	int	1,1000000	WTINT2YR
Gender	category	1:Male;2:Female	WTINT2YR
Language of ACASI Interview	category	1:English;2:Spanish	WTINT2YR
Citizenship Status	category	1:Citizen by birth or naturalization;2:Not a citizen of the US;7:Refused;9:Don't know	WTINT2YR
HH Ref Person Age	int	18,80	WTINT2YR
Interview/Examination Status	category	1:Interviewed Only;2:Both Interviewed and MEC examined	WTINT2YR
HH Ref Person Gender	category	1:Male;2:Female	WTINT2YR
HH Ref Person Marital Status	category	1:Married;2:Widowed;3:Divorced;4:Separated;5:Never married;6:Living with partner;77:Refused;99:Don't know	WTINT2YR
Proxy used in SP Interview?	category	1:Yes;2:No	WTINT2YR
HH Ref Person Education Level	category	1:Less Than 9th Grade;2:9-11th Grade (Includes 12th grade with no diploma);3:High School Grad/GED or equivalent;4:Some College or AA degree;5:College Graduate or above;7:Refused;9:Don't know	WTINT2YR
Language of Family Interview	category	1:English;2:Spanish	WTINT2YR
Country of Birth - Recode	category	1:Born in 50 US States or Washington, DC;2:Born in Mexico;4:Born in Other Spanish Speaking Country;5:Born in Other Non-Spanish Speaking Country;7:Refused;9:Don't Know	WTINT2YR
HH Ref Person Country of Birth	category	1:Born in 50 US States or Washington, DC;2:Born in Mexico;4:Born in Other Spanish Speaking Country;5:Born in Other Non-Spanish Speaking Country;7:Refused;9:Don't know	WTINT2YR
Proxy used in Family Interview?	category	1:Yes;2:No	WTINT2YR
Marital Status	category	1:Married;2:Widowed;3:Divorced;4:Separated;5:Never married;6:Living with partner;77:Refused;99:Don't know	WTINT2YR
Interpreter used in SP Interview?	category	1:Yes;2:No	WTINT2YR
Language of SP Interview	category	1:English;2:Spanish	WTINT2YR
Pregnancy Status at Exam - Recode	category	1:Yes, positive lab pregnancy test or self-reported pregnant at exam;2:SP not pregnant at exam;3:Cannot ascertain if SP is pregnant at exam	WTINT2YR
Annual Household Income	category	1:$     0 to $ 4,999;2:$ 5,000 to $ 9,999;3:$10,000 to $14,999;4:$15,000 to $19,999;5:$20,000 to $24,999;6:$25,000 to $34,999;7:$35,000 to $44,999;8:$45,000 to $54,999;9:$55,000 to $64,999;10:$65,000 to $74,999;12:Over $20,000;13:Under $20,000;14:$75,000 to $99,999;15:$100,000 and Over;77:Refused;99:Don't know	WTINT2YR
Interpreter used in Family Interview?	category	1:Yes;2:No	WTINT2YR
Served in the US Armed Forces	category	1:Yes;2:No;7:Refused;9:Don't know	WTINT2YR
Ratio of family income to poverty	float	0,4.99;5:Value greater than or equal to 5.00	WTINT2YR
Total number of people in the Household	int	1,7	WTINT2YR
Now attending school?	category	1:In school;2:On vacation from school (between grades);3:Neither in school or on vacation from school (between grades);7:Refused;9:Don't know	WTINT2YR
HH Ref Person's Spouse Education Level	category	1:Less Than 9th Grade;2:9-11th Grade (Includes 12th grade with no diploma);3:High School Grad/GED or equivalent;4:Some College or AA degree;5:College Graduate or above;7:Refused;9:Don't know	WTINT2YR
